"","x"
"2140","rt : #wikidata holds promise, but we should remain realistic wrt. how much it can deliver on those promises #biodiversityne…"
"2141","rt : useful paper for anyone interested in using #citizenscience to track #conservation trends  https://t.co/…"
"2142","rt : congratulations to our friends at https://t.co/fvuzmp5eq3     for this e…"
"2143","rt : final activity for the  day two plenary: recognizing the winners of the young researcher award and the …"
"2144","rt : the 1st day  was amazing - the 2nd day has so many interesting parallel topics that it's difficult to choose! i…"
"2145","rt :   https://t.co/uprntb8t95"
"2146","rt : congratulations to  of , collaborator of , ,  &;  etc., one of…"
"2147","rt : gil nelson : find one person who is not in your domain or country and figure out how you can work together; sm…"
"2148","rt : congratulations to our friends at https://t.co/fvuzmp5eq3     for this e…"
"2149","the 1st day  was amazing - the 2nd day has so many interesting parallel topics that it's difficult to c… https://t.co/mkbjdbhmt4"
"2150","rt : congratulations to  of , collaborator of , ,  &;  etc., one of…"
"2151","rt : congratulations to  of , collaborator of , ,  &;  etc., one of…"
"2152","congratulations to our friends at https://t.co/fvuzmp5eq3     for… https://t.co/ybfsg33daa"
"2153","final activity for the  day two plenary: recognizing the winners of the young researcher award and… https://t.co/shmmpycctk"
"2154","congratulations to  of , collaborator of , ,  &;  etc… https://t.co/jlrcbpdkh7"
"2155","rt : it was just mentioned at  that every child in the netherlands wants to be a biologist, or more accurate…"
"2156","rt : it was just mentioned at  that every child in the netherlands wants to be a biologist, or more accurate…"
"2157","rt : love the bow tie! presenting the winners of the  ebbe nielsen challenge. great way to recognise young researchers. #…"
"2158","rt : it was just mentioned at  that every child in the netherlands wants to be a biologist, or more accurate…"
"2159","rt :  what a great guy, ebbe schmidt nielsen  https://t.co/riqk32cp3p"
"2160","rt : ., the scene is set for 'building a global infrastructure for #biodiversity data together' - the theme of the pan…"
"2161","rt : love the bow tie! presenting the winners of the  ebbe nielsen challenge. great way to recognise young researchers. #…"
"2162","rt : yes! as peter schalk of  says during  panel, scientists can play an important role in reac…"
"2163","rt : should go further and oblige to cite the exact specimens. in future  these will be digital specimens with someth…"
"2164","rt :  we should change that a discussion about the future of global #biodiversity is run by only white men, tho…"
"2165","rt : recognition at  of 2019  young researcher awards https://t.co/36fwywafzx"
"2166","rt : #cetaf represents the researchers that are putting the data out and using it. therefore, really important to have their f…"
"2167","rt : pan-european #biodiversity monitoring workshop at the  pre-conference, organised by the #cetaf biodivers…"
"2168","rt : #wikidata holds promise, but we should remain realistic wrt. how much it can deliver on those promises #biodiversityne…"
"2169","rt : there are many collection managers in the audience. which other communities are we not reaching to and we should? great poin…"
"2170","rt : great plenary by  this morning at  - great story of developing a new way we all need to communicate about b…"
"2171","rt : yes! as peter schalk of  says during  panel, scientists can play an important role in reac…"
"2172","rt : #wikidata holds promise, but we should remain realistic wrt. how much it can deliver on those promises #biodiversityne…"
"2173","rt :  joe miller asks a hard question: “how do we get more participation from africa and latin america?” video streaming?…"
"2174","it was just mentioned at  that every child in the netherlands wants to be a biologist, or more acc… https://t.co/pynibwoksw"
"2175","rt : gil nelson : find one person who is not in your domain or country and figure out how you can work together; sm…"
"2176","rt : the florida greyhound driver exle on driving from florida to la: ""i don't drive there. but one stop at a time""  #biodive…"
"2177","#diversity  https://t.co/nzf1d7yy7y"
"2178","rt : this week, our head of data &; digital is attending , a unique conference bringing together scientists, policy…"
"2179","love the bow tie! presenting the winners of the  ebbe nielsen challenge. great way to recognise young research… https://t.co/lwljzk8nt8"
"2180","rt : recognition at  of 2019  young researcher awards https://t.co/36fwywafzx"
"2181","rt : de discussieleidster, elycia wallis, besluit met excuses voor de samenstelling van het panel, en houdt een pleidooi voo…"
"2182","rt :  what a great guy, ebbe schmidt nielsen  https://t.co/riqk32cp3p"
"2183","rt : this week, our head of data &; digital is attending , a unique conference bringing together scientists, policy…"
"2184"," what a great guy, ebbe schmidt nielsen  https://t.co/riqk32cp3p"
"2185","rt : “reaching a resolution that protects both wildlife and people requires inclusive solutions,” says  during the day t…"
"2186","rt : recognition at  of 2019  young researcher awards https://t.co/36fwywafzx"
"2187","de discussieleidster, elycia wallis, besluit met excuses voor de samenstelling van het panel, en houdt een pleidooi… https://t.co/qcp0uxjrq9"
"2188","recognition at  of 2019  young researcher awards https://t.co/36fwywafzx"
"2189","rt : this week, our head of data &; digital is attending , a unique conference bringing together scientists, policy…"
"2190","rt : great plenary by  this morning at  - great story of developing a new way we all need to communicate about b…"
"2191","rt : this week, our head of data &; digital is attending , a unique conference bringing together scientists, policy…"
"2192","this week, our head of data &; digital is attending , a unique conference bringing together scienti… https://t.co/qbcqnzhntk"
"2193","rt :  and more representation from around the globe - there's a hemispherical bias too #diversitynext "
"2194","rt :  day 1 has only just finished and the second day has already  started! what are your plans for today? htt…"
"2195","the florida greyhound driver exle on driving from florida to la: ""i don't drive there. but one stop at a time""  "
"2196","rt : great plenary by  this morning at  - great story of developing a new way we all need to communicate about b…"
"2197","rt : join the alliance for biodiversity knowledge https://t.co/x9wue7qnnd "
"2198","gil nelson : find one person who is not in your domain or country and figure out how you can work together;… https://t.co/bamlaqwwzy"
"2199","rt :  day 1 has only just finished and the second day has already  started! what are your plans for today? htt…"
"2200","rt : opening day #2 of , maxwell gomera  asks ""whose wildlife is it?"", stressing that research on af…"
"2201","rt : today at ! #bhlib symposium <U+0001F5D3> 11-12:30. if you’re attending , we hope to see you there! htt…af…"
"2202"," day 1 has only just finished and the second day has already  started! what are your plans for tod… https://t.co/gcku6skksu"
"2203"," joe miller asks a hard question: “how do we get more participation from africa and latin america?” video… https://t.co/lbv7cxnuqx"
"2204","rt : ""wees aardig, toon menselijkheid"".
door het vertellen van verhalen overtuigen natuurbeschermers burgers en politici die…"
"2205","yes! as peter schalk of  says during  panel, scientists can play an important role… https://t.co/2lj1nby0qd"
"2206","rt : . (director of biodiversity &; ecosystems services branch at #unenvironment) is frist key note speaker of today’s…"
"2207","rt : this ""discussion"" panel at  shows that there is a need for more human diversity in the leadership of the biodiv…"
"2208","rt : as  emphasizes, through storytelling we can reach out to policy makers in ways that data reports alone cannot. stor…"
"2209","rt : join the alliance for biodiversity knowledge https://t.co/x9wue7qnnd "
"2210","rt : as  emphasizes, through storytelling we can reach out to policy makers in ways that data reports alone cannot. stor…"
"2211","rt : we should embrace wonderful new opportunities when dealing with #biodiversity #data. great thing about science to be able…"
"2212","rt : love this closing slide from  at . https://t.co/sjqkqtstur"
"2213","rt : linking natural and cultural heritage allows us to highlight what culture and interests we have in common, making our resear…"
"2214","rt : we should embrace wonderful new opportunities when dealing with #biodiversity #data. great thing about science to be able…"
"2215","rt : #cetaf represents the researchers that are putting the data out and using it. therefore, really important to have their f…"
"2216","rt : ""we know we have science on our side. to create change that is transformative, we need people on our side too... let's not hurt…"
"2217","rt : we must tell their stories, like this beautuful story told to  by his mum: ""no matter where they are going, elep…"
"2218","rt : great to see  of  and long time  colleague moderating the  panel discus…"
"2219","great plenary by  this morning at  - great story of developing a new way we all need to communi… https://t.co/vyt0rhxxfa"
"2220","rt : “don’t hurt the world. it’s already hurting.” inspiring talk by .  #storytelling  ht…"
"2221","rt :  on “new narratives about biodiversity to better serve humanity”. through story telling people is reaching more results…"
"2222","there are many collection managers in the audience. which other communities are we not reaching to and we should? g… https://t.co/ibo3oinhx7"
"2223","rt : training taxonomists for the digital world   https://t.co/27lsf1vion"
"2224","rt : nice to see    used as a positive exle at  by  from un. this is reach of +…"
"2225","rt : nice to see    used as a positive exle at  by  from un. this is reach of +…"
"2226","rt : . asks  panelists, is there anything we should stop doing? one answer: we need to stop working indepe…"
"2227","#wikidata holds promise, but we should remain realistic wrt. how much it can deliver on those promises… https://t.co/xxn10bziz3"
"2228","#cetaf represents the researchers that are putting the data out and using it. therefore, really important to have t… https://t.co/vbolhipam5"
"2229","rt : as  emphasizes, through storytelling we can reach out to policy makers in ways that data reports alone cannot. stor…"
"2230","rt : “reaching a resolution that protects both wildlife and people requires inclusive solutions,” says  during the day t…"
"2231","rt : day two of  us about the begin.  symposium later today. now, the plenary session. https://t.…"
"2232","rt : advices from  to open the gate to biodiversity knowledge: 1- become a wikipedia / wikidata editor, 2- put more…"
"2233","rt : “although i have a preference for new zealand moths, i’m omnivorous when it comes to editing #wikipedia &; #wikidata page…"
"2234","rt : the tetris master   https://t.co/mcksw0szry https://t.co/yeqkxnzaqv"
"2235"," we should change that a discussion about the future of global #biodiversity is run by only white… https://t.co/dr32loz354"
"2236","rt : join the alliance for biodiversity knowledge https://t.co/x9wue7qnnd "
"2237","rt : opening day #2 of , maxwell gomera  asks ""whose wildlife is it?"", stressing that research on af…"
"2238","rt : . asks  panelists, is there anything we should stop doing? one answer: we need to stop working indepe…"
"2239","rt : we should embrace wonderful new opportunities when dealing with #biodiversity #data. great thing about science to be able…"
"2240","rt : great to see  of  and long time  colleague moderating the  panel discus…"
"2241","rt : the tetris master   https://t.co/mcksw0szry https://t.co/yeqkxnzaqv"
"2242","rt : this ""discussion"" panel at  shows that there is a need for more human diversity in the leadership of the biodiv…"
"2243","rt : not a good look for supporting *human* diversity, .  ely (a woman) came on stage to moderat…"
"2244","rt : we need more women leading big biodiversity initiatives...  https://t.co/invo9tcdih"
"2245","rt : join the alliance for biodiversity knowledge https://t.co/x9wue7qnnd "
"2246","rt : not a good look for supporting *human* diversity, .  ely (a woman) came on stage to moderat…"
"2247","rt : should go further and oblige to cite the exact specimens. in future  these will be digital specimens with someth…"
"2248","rt : want to know how work is progressing towards a global biodiversity data strategy? keep an eye on  to see w…"
"2249","rt : pl team is at  ! hervé will present a work on deep learning for phenology today in ss86 symposi…"
"2250","rt : join the alliance for biodiversity knowledge https://t.co/x9wue7qnnd "
"2251","rt : not a good look for supporting *human* diversity, .  ely (a woman) came on stage to moderat…"
"2252"," and more representation from around the globe - there's a hemispherical bias too #diversitynext "
"2253","the tetris master   https://t.co/mcksw0szry https://t.co/yeqkxnzaqv"
"2254","rt : we need more women leading big biodiversity initiatives...  https://t.co/invo9tcdih"
"2255","rt : . asks  panelists, is there anything we should stop doing? one answer: we need to stop working indepe…"
"2256","rt : great to see  of  and long time  colleague moderating the  panel discus…"
"2257","rt : we should embrace wonderful new opportunities when dealing with #biodiversity #data. great thing about science to be able…"
"2258","this ""discussion"" panel at  shows that there is a need for more human diversity in the leadership… https://t.co/ofe1i1qjak"
"2259","rt : . asks  panelists, is there anything we should stop doing? one answer: we need to stop working indepe…"
"2260","rt : not a good look for supporting *human* diversity, .  ely (a woman) came on stage to moderat…"
"2261","rt : we need more women leading big biodiversity initiatives...  https://t.co/invo9tcdih"
"2262","rt : hear hear  - there are never ‘enough’ resources in any sphere   - we will always need…"
"2263",". asks  panelists, is there anything we should stop doing? one answer: we need to stop workin… https://t.co/qk7rwmpir7"
"2264","rt : the  conference has started...i have my notepad, but can’t for the life of me find something to write with! #…"
"2265","rt : great keynote from max gomera on new narritives on biodiveristy to save humanity “don’t hurt the world, it is hurting alr…"
"2266","we need more women leading big biodiversity initiatives...  https://t.co/invo9tcdih"
"2267","rt : hmm... #diversitynext
 https://t.co/cre7q3vopc"
"2268","rt : join the alliance for biodiversity knowledge https://t.co/x9wue7qnnd "
"2269","rt : not a good look for supporting *human* diversity, .  ely (a woman) came on stage to moderat…"
"2270","rt : nice to see    used as a positive exle at  by  from un. this is reach of +…"
"2271","rt : hear hear  - there are never ‘enough’ resources in any sphere   - we will always need…"
"2272","rt : we should embrace wonderful new opportunities when dealing with #biodiversity #data. great thing about science to be able…"
"2273","rt :  stop protecting your pit, eg catalogue of life"
"2274","rt :  leading conversation with panel of  organizers https://t.co/l0fysn5dle"
"2275","rt : we must tell their stories, like this beautuful story told to  by his mum: ""no matter where they are going, elep…"
"2276","rt : yes, one couldn' t have made this much less diverse, if one had tried to...   https://t.co/jumvox4nek"
"2277","hear hear  - there are never ‘enough’ resources in any sphere   - we will always n… https://t.co/tlslw2auyd"
"2278","join the alliance for biodiversity knowledge https://t.co/x9wue7qnnd "
"2279","rt : now it’s time for the discussion ‘building a global infrastructure for biodiversity data. together’ with all #biodiversi…"
"2280","nice to see    used as a positive exle at  by  from un. this is r… https://t.co/rhbhiybswb"
"2281","rt : not a good look for supporting *human* diversity, .  ely (a woman) came on stage to moderat…"
"2282","we should embrace wonderful new opportunities when dealing with #biodiversity #data. great thing about science to b… https://t.co/cwcixduvxx"
"2283","rt : ely wallis () has just been proclaimed the “tetris manager” of  by arturo ariño for her incredible…"
"2284"," stop protecting your pit, eg catalogue of life"
"2285","rt : panel of white men to get us started on day 2 of  <U+0001F64A> ... hmmmm https://t.co/dd8fcatsuVr incredible…"
"2286","rt : help build open infrastructure for organization identifiers by supporting  https://t.co/y4gnudrwuj #pids #ror #bi…"
"2287","rt : great to see  of  and long time  colleague moderating the  panel discus…"
"2288","rt : a step towards common sense  https://t.co/3x1haile3j"
"2289","rt : “don’t hurt the world. it’s already hurting.” inspiring talk by .  #storytelling  ht…"
"2290","rt : love this closing slide from  at . https://t.co/sjqkqtstur"
"2291","rt : . (director of biodiversity &; ecosystems services branch at #unenvironment) is frist key note speaker of today’s…"
"2292","rt :  on “new narratives about biodiversity to better serve humanity”. through story telling people is reaching more results…"
"2293","rt : het panel met vertegenwoordigers van de organisaties achter  is een perfecte dwarsdoorsnede van de gro…"
"2294","rt : hmm... #diversitynext
 https://t.co/cre7q3vopc"
"2295","rt : story or data or story and data as inclusive world?  "
"2296","rt : putting names on panelists  https://t.co/xwpgv5tlkd"
"2297","rt : maxwell gomera discusses some of the policy matters around biodiversity and the need for vstory telling to accompany the data…"
"2298","rt : ""we know we have science on our side. to create change that is transformative, we need people on our side too... let's not hurt…"
"2299","rt : what's next?  https://t.co/giihhulcwx"
"2300","rt : great keynote from max gomera on new narritives on biodiveristy to save humanity “don’t hurt the world, it is hurting alr…"
"2301","rt : not a good look for supporting *human* diversity, .  ely (a woman) came on stage to moderat…"
"2302","rt : opening day #2 of , maxwell gomera  asks ""whose wildlife is it?"", stressing that research on af…"
"2303","rt : now it’s time for the discussion ‘building a global infrastructure for biodiversity data. together’ with all #biodiversi…"
"2304","rt : our ceo, christos arvanitidis, moderating  ‘cp01: automation and #ai’ and presenting the contributed pa…"
"2305","rt : . (director of biodiversity &; ecosystems services branch at #unenvironment) is frist key note speaker of today’s…"
"2306","rt : now it’s time for the discussion ‘building a global infrastructure for biodiversity data. together’ with all #biodiversi…"
"2307","rt : great to see  of  and long time  colleague moderating the  panel discus…"
"2308","rt : linking natural and cultural heritage allows us to highlight what culture and interests we have in common, making our resear…"
"2309","rt : het panel met vertegenwoordigers van de organisaties achter  is een perfecte dwarsdoorsnede van de gro…"
"2310","rt : not a good look for supporting *human* diversity, .  ely (a woman) came on stage to moderat…"
"2311","rt : our ceo, christos arvanitidis, moderating  ‘cp01: automation and #ai’ and presenting the contributed pa…"
"2312","rt : also attending  session sp35 related to essential biodiversity variables -ebv- defined by the group on…"
"2313","rt : not a good look for supporting *human* diversity, .  ely (a woman) came on stage to moderat…"
"2314","rt :  on “new narratives about biodiversity to better serve humanity”. through story telling people is reaching more results…"
"2315","rt : . (director of biodiversity &; ecosystems services branch at #unenvironment) is frist key note speaker of today’s…"
"2316","rt : today at ! #bhlib symposium <U+0001F5D3> 11-12:30. if you’re attending , we hope to see you there! htt…oday’s…"
"2317","rt : now it’s time for the discussion ‘building a global infrastructure for biodiversity data. together’ with all #biodiversi…"
"2318"," leading conversation with panel of  organizers https://t.co/l0fysn5dle"
"2319","we must tell their stories, like this beautuful story told to  by his mum: ""no matter where they are going,… https://t.co/ka2i80f9ze"
"2320","yes, one couldn' t have made this much less diverse, if one had tried to...   https://t.co/jumvox4nek"
"2321","now it’s time for the discussion ‘building a global infrastructure for biodiversity data. together’ with all… https://t.co/hupvmxldoc"
"2322","not a good look for supporting *human* diversity, .  ely (a woman) came on stage to mo… https://t.co/v1nsdihadq"
"2323","het panel met vertegenwoordigers van de organisaties achter  is een perfecte dwarsdoorsnede van de… https://t.co/uq2fjr5rhc"
"2324","rt : opening day #2 of , maxwell gomera  asks ""whose wildlife is it?"", stressing that research on af…"
"2325","putting names on panelists  https://t.co/xwpgv5tlkd"
"2326","rt : love this closing slide from  at . https://t.co/sjqkqtstur"
"2327","rt : as  emphasizes, through storytelling we can reach out to policy makers in ways that data reports alone cannot. stor…"
"2328","rt : ., the scene is set for 'building a global infrastructure for #biodiversity data together' - the theme of the pan…"
"2329","rt : as  emphasizes, through storytelling we can reach out to policy makers in ways that data reports alone cannot. stor…"
"2330"," on “new narratives about biodiversity to better serve humanity”. through story telling people is reaching… https://t.co/f6tipayyaa"
"2331","rt : friday morning, the  attendees take control with an unconference session friday morning! five categories of gra…"
"2332","rt : hmm... #diversitynext
 https://t.co/cre7q3vopc"
"2333","rt : panel of white men to get us started on day 2 of  <U+0001F64A> ... hmmmm https://t.co/dd8fcatsuVg! five categories of gra…"
"2334","rt : hmm... #diversitynext
 https://t.co/cre7q3vopc"
"2335","rt : ""we know we have science on our side. to create change that is transformative, we need people on our side too... let's not hurt…"
"2336","great keynote from max gomera on new narritives on biodiveristy to save humanity “don’t hurt the world, it is hurti… https://t.co/gzc4q5oemx"
"2337","rt : today at ! #bhlib symposium <U+0001F5D3> 11-12:30. if you’re attending , we hope to see you there! htt…… https://t.co/gzc4q5oemx"
"2338","rt : hmm... #diversitynext
 https://t.co/cre7q3vopc"
"2339","panel of white men to get us started on day 2 of  <U+0001F64A> ... hmmmm https://t.co/dd8fcatsuV there! htt…… https://t.co/gzc4q5oemx"
"2340","great to see  of  and long time  colleague moderating the  pane… https://t.co/jnus4pbyjv"
"2341","rt : love this closing slide from  at . https://t.co/sjqkqtstur"
"2342","“don’t hurt the world. it’s already hurting.” inspiring talk by .  #storytelling… https://t.co/cewpow5090"
"2343","rt : hmm... #diversitynext
 https://t.co/cre7q3vopc"
"2344","rt : . (director of biodiversity &; ecosystems services branch at #unenvironment) is frist key note speaker of today’s…"
"2345","rt : ""we know we have science on our side. to create change that is transformative, we need people on our side too... let's not hurt…"
"2346",". (director of biodiversity &; ecosystems services branch at #unenvironment) is frist key note speaker of to… https://t.co/gef6dahpop"
"2347","hmm... #diversitynext
 https://t.co/cre7q3vopc"
"2348","rt : as  emphasizes, through storytelling we can reach out to policy makers in ways that data reports alone cannot. stor…"
"2349","rt : help build open infrastructure for organization identifiers by supporting  https://t.co/y4gnudrwuj #pids #ror #bi…"
"2350","maxwell gomera discusses some of the policy matters around biodiversity and the need for vstory telling to accompan… https://t.co/b6rcv8mhtn"
"2351","""we know we have science on our side. to create change that is transformative, we need people on our side too... le… https://t.co/j4bmu3wwtt"
"2352","what's next?  https://t.co/giihhulcwx"
"2353","""wees aardig, toon menselijkheid"".
door het vertellen van verhalen overtuigen natuurbeschermers burgers en politici… https://t.co/ixxcohpwkb"
"2354","help build open infrastructure for organization identifiers by supporting  https://t.co/y4gnudrwuj #pids #ror "
"2355","rt : opening day #2 of , maxwell gomera  asks ""whose wildlife is it?"", stressing that research on af…"
"2356","rt : love this closing slide from  at . https://t.co/sjqkqtstur"
"2357","a step towards common sense  https://t.co/3x1haile3j"
"2358","rt : ""whose wildlife is it?""
oftewel, ""van wie is de natuur?""
van iedereen en van niemand, en daarom verliest de wereld #bio…"
"2359","love this closing slide from  at . https://t.co/sjqkqtstur"
"2360","rt : ., the scene is set for 'building a global infrastructure for #biodiversity data together' - the theme of the pan…"
"2361","rt : as  emphasizes, through storytelling we can reach out to policy makers in ways that data reports alone cannot. stor…"
"2362","rt :   we have now 14 observers, 52 species and 76 observations in the bioblitz (https://t.co/khgjmgul37) …"
"2363","rt : opening day #2 of , maxwell gomera  asks ""whose wildlife is it?"", stressing that research on af…"
"2364","rt : as  emphasizes, through storytelling we can reach out to policy makers in ways that data reports alone cannot. stor…"
"2365","as  emphasizes, through storytelling we can reach out to policy makers in ways that data reports alone cann… https://t.co/yvbsbyvd9h"
"2366","story or data or story and data as inclusive world?  "
"2367","opening day #2 of , maxwell gomera  asks ""whose wildlife is it?"", stressing that research… https://t.co/1skeut2vvc"
"2368","rt : ""whose wildlife is it?""
oftewel, ""van wie is de natuur?""
van iedereen en van niemand, en daarom verliest de wereld #bio…"
"2369","how to avoid #wildlife and #biodiversity to be seen as a white man game by locals.  https://t.co/w5vkcicj7d"
"2370","""why is it that burning fossil fuels, is still considered the driver of modern economies? how is it possible that e… https://t.co/dgbzd3xw7q"
"2371","rt : friday morning, the  attendees take control with an unconference session friday morning! five categories of gra…"
"2372","rt : ""inclusive world"" "
"2373","""inclusive world"" "
"2374","and shout outs to the belie of storytelling and to plato - it’s like  wrote this just for the political phi… https://t.co/lyxstvuuar"
"2375","how to reach - and listen to - the many when it comes to wildlife conservation.  in his  k… https://t.co/oayiicr7sv"
"2376","the elephant exle: the herd arrives together at the destination, irrespective of all "
"2377","how van we solve human-wildlife conflict? it is our responsibility to truly contemplate ways to help conservation.… https://t.co/uhg3xpyo7l"
"2378","""whose wildlife is it?""
oftewel, ""van wie is de natuur?""
van iedereen en van niemand, en daarom verliest de wereld… https://t.co/xsbklgunst"
"2379","rt : friday morning, the  attendees take control with an unconference session friday morning! five categories of gra…"
"2380","sounds like a challenge, ! let’s propose to have a tetris tournament during  unconference this fri… https://t.co/5qpzdgk3q4"
"2381","rt : advices from  to open the gate to biodiversity knowledge: 1- become a wikipedia / wikidata editor, 2- put more…"
"2382","rt : friday morning, the  attendees take control with an unconference session friday morning! five categories of gra…"
"2383","timely reminder from  ‘s keynote  that as well as data we need to understand emotions and motivations"
"2384"," farmers around wildlife don't shout loudly... not so in switzerland when the #wolf is there… https://t.co/adqpd31mvj"
"2385","rt : the  conference has started...i have my notepad, but can’t for the life of me find something to write with! #…"
"2386","wat een geweldig museum #naturalis in #nphollandseduinen. gisteravond het toepasselijke decor voor de receptie van… https://t.co/glghalmcdb"
"2387","“reaching a resolution that protects both wildlife and people requires inclusive solutions,” says  during t… https://t.co/x48uyijxca"
"2388","rt : friday morning, the  attendees take control with an unconference session friday morning! five categories of gra…"
"2389","rt : the  conference has started...i have my notepad, but can’t for the life of me find something to write with! #…"
"2390","rt : useful paper for anyone interested in using #citizenscience to track #conservation trends  https://t.co/…"
"2391","rt : exciting  breakout group yesterday, some productively informal meetings of https://t.co/l9dozfrqvv in the evening…"
"2392","ely wallis () has just been proclaimed the “tetris manager” of  by arturo ariño for her incre… https://t.co/ghbswxfdpn"
"2393","rt : day two of  us about the begin.  symposium later today. now, the plenary session. https://t.…"
"2394","rt : ., the scene is set for 'building a global infrastructure for #biodiversity data together' - the theme of the pan…"
"2395","rt : attendees at  are welcome to hear about the #dataquality approach at  today at <U+0001F55A> 11:10 am from……"
"2396","rt : we are glad to have a representative from one of our project implementation partners, lawrence monda from national muse…"
"2397","rt : pleasant and appropriate commute to  conference in the light of jalila essaidi’s inspirational keynote y…"
"2398","rt : pl team is at  ! hervé will present a work on deep learning for phenology today in ss86 symposi…"
"2399","the  conference has started...i have my notepad, but can’t for the life of me find something to write w… https://t.co/endd91jvdc"
"2400","rt : attendees at  are welcome to hear about the #dataquality approach at  today at <U+0001F55A> 11:10 am from…endd91jvdc"
"2401","rt : great first day for  in leiden. looking forward to the second day. here's my quick impression of the first day. #bi…"
"2402","rt : today at ! #bhlib symposium <U+0001F5D3> 11-12:30. if you’re attending , we hope to see you there! htt…. #bi…"
"2403","rt : ., the scene is set for 'building a global infrastructure for #biodiversity data together' - the theme of the pan…"
"2404","rt : retweeting with direct link to the slides:
https://t.co/woakhfhybt
 https://t.co/u5lqmmopvw"
"2405","friday morning, the  attendees take control with an unconference session friday morning! five cate… https://t.co/gdh4zqf5uo"
"2406","rt :   #entodig3d #tensorflow find out how to digitize pinned insect collections, automatically. top…"
"2407","rt : pleasant and appropriate commute to  conference in the light of jalila essaidi’s inspirational keynote y…"
"2408","rt : what are you hoping to learn during ? 

we asked attendees what they want to achieve this week:

(featuri…"
"2409","useful paper for anyone interested in using #citizenscience to track #conservation trends  https://t.co/cdfcxxztkp"
"2410","rt : pl team is at  ! hervé will present a work on deep learning for phenology today in ss86 symposi…"
"2411","rt : advices from  to open the gate to biodiversity knowledge: 1- become a wikipedia / wikidata editor, 2- put more…"
"2412","rt : biosciences have traditionally not been part of the megascience club. but it very much should be, says paul hebert at #bi…"
"2413","rt : a paper on the response of the flora of the netherlands to climate citing the data downloaded from   https://t.co…"
"2414","rt : here comes the answer. use  and link your activities to it! and  don't forget - be a thing, not a string! …"
"2415","rt : biosciences have traditionally not been part of the megascience club. but it very much should be, says paul hebert at #bi…"
"2416","exciting  breakout group yesterday, some productively informal meetings of https://t.co/l9dozfrqvv i… https://t.co/jikbh6jgh7"
"2417","rt : today at ! #bhlib symposium <U+0001F5D3> 11-12:30. if you’re attending , we hope to see you there! htt…jikbh6jgh7"
"2418","rt : people and their identities are more important to biodiversity data than it has so far been appreciated. …"
"2419","rt : should go further and oblige to cite the exact specimens. in future  these will be digital specimens with someth…"
"2420","rt :  best #eunodes meeting ever! https://t.co/fxwwzakmag"
"2421","day two of  us about the begin.  symposium later today. now, the plenary session. https://t.co/ulgkhrmst9"
"2422","rt : ., the scene is set for 'building a global infrastructure for #biodiversity data together' - the theme of the pan…"
"2423","rt : ., the scene is set for 'building a global infrastructure for #biodiversity data together' - the theme of the pan…"
"2424","rt : attendees at  are welcome to hear about the #dataquality approach at  today at <U+0001F55A> 11:10 am from……"
"2425","., the scene is set for 'building a global infrastructure for #biodiversity data together' - the theme… https://t.co/zs8p2x31ad"
"2426","rt : pleasant and appropriate commute to  conference in the light of jalila essaidi’s inspirational keynote y…"
"2427","attendees at  are welcome to hear about the #dataquality approach at  today at <U+0001F55A> 11:10 am… https://t.co/mmsrmuhkx2h4zqf5uo"
"2428","rt : pl team is at  ! hervé will present a work on deep learning for phenology today in ss86 symposi…"
"2429","rt : what are you hoping to learn during ? 

we asked attendees what they want to achieve this week:

(featuri…"
"2430","rt : semantic interoperability solutions for the essential variables: focus on biodiversity by
pier luigi buttigieg #biodiversityn…"
"2431","rt : tomorrow morning (11:10 am, 23 oct) at , join the presentation of our teodor georgiev during the ""#biodiversi…"
"2432","we are glad to have a representative from one of our project implementation partners, lawrence monda from national… https://t.co/acnoc7n6kf"
"2433","rt : pleasant and appropriate commute to  conference in the light of jalila essaidi’s inspirational keynote y…"
"2434","pleasant and appropriate commute to  conference in the light of jalila essaidi’s inspirational key… https://t.co/oierppdrjz"
"2435","rt : today at ! #bhlib symposium <U+0001F5D3> 11-12:30. if you’re attending , we hope to see you there! htt…… https://t.co/oierppdrjz"
"2436","rt : .  urges everyone to get and use an #orcid, to become a wikidata editor and to make biodiversity knowledge…"
"2437","pl team is at  ! hervé will present a work on deep learning for phenology today in ss86 symp… https://t.co/qwryuecl4c"
"2438","rt : nine simple ways to reuse your data: https://t.co/1mnckuy11a #citethedoi

got shared at the coding club session …"
"2439","rt : biosciences have traditionally not been part of the megascience club. but it very much should be, says paul hebert at #bi…"
"2440","rt : what are you hoping to learn during ? 

we asked attendees what they want to achieve this week:

(featuri…"
"2441","rt : great symposium on  for #biodiversity informatics. hosted by  and with really interesting talks by @…"
"2442","rt :  best #eunodes meeting ever! https://t.co/fxwwzakmag"
"2443","rt : regarding the ‘artisanal’ nature of recent key studies of biodiversity loss,  chair paul hebert says, “we nee…"
"2444","rt : also attending  session sp35 related to essential biodiversity variables -ebv- defined by the group on…"
"2445","rt : today at ! #bhlib symposium <U+0001F5D3> 11-12:30. if you’re attending , we hope to see you there! htt… group on…"
"2446","rt : reminder everyone: all abstracts for this week's  conference are published in #oa with us

<U+27A1><U+FE0F>https://t.co/rry…"
"2447","today at ! #bhlib symposium <U+0001F5D3> 11-12:30. if you’re attending , we hope to see you there! https://t.co/isyjrdkauSecl4c"
